,id,name,gdp,population
156,534,Sint Maarten (Dutch part),,39969.0
157,535,Bonaire,,
158,540,New Caledonia,,276550.0
159,548,Vanuatu,773502895.927602,270402.0
160,554,New Zealand,184970675762.691,4693200.0
161,558,Nicaragua,13230844686.858,6149928.0
162,562,Niger,7528387858.34739,20672987.0
163,566,Nigeria,404652720164.859,185989640.0
164,570,Niue,,
165,574,Norfolk Island,,
166,578,Norway,371075238095.238,5234519.0
167,580,Northern Mariana Islands,1242000000.0,55023.0
168,581,United States Minor Outlying Islands,,
169,583,Micronesia,,
170,584,Marshall Islands,194497900.0,53066.0
171,585,Palau,310248300.0,21503.0
172,586,Pakistan,278913371202.065,193203476.0
173,591,Panama,55187700000.0,4034119.0
174,598,Papua New Guinea,20213214171.7204,8084991.0
175,600,Paraguay,27424071382.7244,6725308.0
176,604,Peru,192207342004.681,31773839.0
177,608,Philippines,304905406845.291,103320222.0
178,612,Pitcairn,,
179,616,Poland,471364408713.956,37970087.0
180,620,Portugal,205184480409.024,10325452.0
181,624,Guinea-Bissau,1164944509.94419,1815698.0
182,626,Timor-Leste,1782974000.0,1268671.0
183,630,Puerto Rico,105034500000.0,3406520.0
184,634,Qatar,152451923076.923,2569804.0
185,638,Réunion,,
186,642,Romania,187592037839.968,19702332.0
187,643,Russian Federation,1283162985989.3,144342396.0
188,646,Rwanda,8376048904.58291,11917508.0
189,652,Saint Barthélemy,,
190,654,Saint Helena,,
191,659,Saint Kitts and Nevis,,
192,660,Anguilla,,
193,662,Saint Lucia,,
194,663,Saint Martin (French part),,
195,666,Saint Pierre and Miquelon,,
196,670,Saint Vincent and the Grenadines,,
197,674,San Marino,1590707964.60177,33203.0
198,678,Sao Tome and Principe,342781715.52048,199910.0
199,682,Saudi Arabia,646438380560.0,32275687.0
200,686,Senegal,14683697630.9,15411614.0
201,688,Serbia,38299854688.1277,7058322.0
202,690,Seychelles,1427323889.0961,94677.0
203,694,Sierra Leone,3736588553.56394,7396190.0
204,702,Singapore,296975678610.206,5607283.0
205,703,Slovakia,,
206,704,Viet Nam,,
207,705,Slovenia,44708598648.8562,2065042.0
208,706,Somalia,6217000000.0,14317996.0
209,710,South Africa,295456189492.005,56015473.0
210,716,Zimbabwe,16619960401.9038,16150362.0
211,724,Spain,1237255019653.86,46484062.0
212,728,South Sudan,,12230730.0
213,729,Sudan,95584380032.2061,39578828.0
214,732,Western Sahara,,
215,740,Suriname,3278425328.32418,558368.0
216,744,Svalbard and Jan Mayen,,
217,748,Swaziland,3720649374.57512,1343098.0
218,752,Sweden,514459972806.171,9923085.0
